organization_formal_name,monitoring_location_identifier,activity_start_date,activity_start_time_time,activity_start_time_time_zone_code,characteristic_name,result_measure_value,result_measure_measure_unit_code,result_status_identifier,result_analytical_method_method_name,detection_quantitation_limit_type_name,detection_quantitation_limit_measure_measure_value,detection_quantitation_limit_measure_measure_unit_code
USGS California Water Science Center,USGS-11303500,2013-04-10,12:39:00,PDT,Suspended Sediment Concentration (SSC),57,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-07-06,14:16:00,PDT,Suspended Sediment Concentration (SSC),79,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-07-26,14:00:00,PDT,Suspended Sediment Concentration (SSC),21,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-10-23,07:05:00,PDT,Suspended Sediment Concentration (SSC),81,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-09-24,17:50:00,PDT,Suspended Sediment Concentration (SSC),52,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-05-17,11:05:00,PDT,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-04-14,15:34:00,PDT,Suspended Sediment Concentration (SSC),41,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-05-13,06:45:00,PDT,Suspended Sediment Concentration (SSC),35,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-05-15,08:50:00,PDT,Suspended Sediment Concentration (SSC),39,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-05-24,12:31:00,PDT,Suspended Sediment Concentration (SSC),59,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-04-09,12:32:00,PDT,Ammonia and ammonium,0.02,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-04-09,12:32:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.08,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2015-04-09,12:32:00,PDT,Orthophosphate,0.03,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2014-10-09,13:55:00,PDT,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-08-28,08:53:00,PDT,Suspended Sediment Concentration (SSC),36,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-08-18,12:26:00,PDT,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-06-20,09:48:00,PDT,Suspended Sediment Concentration (SSC),9,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-10-30,15:07:00,PDT,Suspended Sediment Concentration (SSC),2,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-04-27,08:53:00,PDT,Suspended Sediment Concentration (SSC),34,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-09-04,11:05:00,PDT,Suspended Sediment Concentration (SSC),30,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-10-04,18:35:00,PDT,Suspended Sediment Concentration (SSC),53,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2010-10-14,13:56:00,PDT,Suspended Sediment Concentration (SSC),61,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-06-10,07:05:00,PDT,Suspended Sediment Concentration (SSC),59,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-05-20,11:39:00,PDT,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-10-02,08:50:00,PDT,Suspended Sediment Concentration (SSC),62,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-04-02,11:22:00,PDT,Suspended Sediment Concentration (SSC),11,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-09-20,10:10:00,PDT,Inorganic nitrogen (nitrate and nitrite),2.29,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",Estimated Detection Level,0.04,mg/l as N
USGS California Water Science Center,USGS-11303500,2015-04-14,15:22:00,PDT,Suspended Sediment Concentration (SSC),47,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-09-20,10:10:00,PDT,Suspended Sediment Concentration (SSC),29,mg/l,Accepted,NA,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2018-09-22,16:20:00,PDT,Suspended Sediment Concentration (SSC),89,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-10-30,15:09:00,PDT,Suspended Sediment Concentration (SSC),2,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-04-02,12:22:00,PDT,Suspended Sediment Concentration (SSC),84,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-05-01,11:33:00,PDT,Suspended Sediment Concentration (SSC),49,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2019-08-09,17:05:00,PDT,Suspended Sediment Concentration (SSC),43,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-07-11,10:00:00,PDT,Nitrite,0.018,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2012-09-07,15:18:00,PDT,Suspended Sediment Concentration (SSC),22,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-07-24,10:01:00,PDT,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-09-30,09:35:00,PDT,Suspended Sediment Concentration (SSC),40,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-03-19,16:55:00,PDT,Suspended Sediment Concentration (SSC),112,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-10-30,11:20:00,PDT,Suspended Sediment Concentration (SSC),77,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-07-11,10:00:00,PDT,UV 254,4.6,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2017-09-21,06:55:00,PDT,Suspended Sediment Concentration (SSC),63,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-10-19,09:10:00,PDT,Suspended Sediment Concentration (SSC),9,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-10-03,15:57:00,PDT,Suspended Sediment Concentration (SSC),54,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-08-14,14:34:00,PDT,Suspended Sediment Concentration (SSC),29,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-09-16,16:45:00,PDT,Suspended Sediment Concentration (SSC),70,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-04-26,14:33:00,PDT,Suspended Sediment Concentration (SSC),47,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-07-06,14:37:00,PDT,Suspended Sediment Concentration (SSC),73,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-03-26,14:12:00,PDT,Suspended Sediment Concentration (SSC),53,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-07-01,09:30:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.54,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",Long Term Method Detection Level,0.04,mg/l as N
USGS California Water Science Center,USGS-11303500,2017-03-15,19:10:00,PDT,Suspended Sediment Concentration (SSC),22,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-07-01,09:30:00,PDT,Organic carbon,1.82,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",Long Term Method Detection Level,0.23,mg/l
USGS California Water Science Center,USGS-11303500,2012-06-27,14:26:00,PDT,Suspended Sediment Concentration (SSC),43,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-04-14,15:31:00,PDT,Suspended Sediment Concentration (SSC),37,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-08-01,16:35:00,PDT,Suspended Sediment Concentration (SSC),30,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-06-21,12:23:00,PDT,Suspended Sediment Concentration (SSC),26,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-08-26,13:25:00,PDT,Suspended Sediment Concentration (SSC),21,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2014-10-09,14:05:00,PDT,Suspended Sediment Concentration (SSC),14,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-09-08,13:18:00,PDT,Suspended Sediment Concentration (SSC),11,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-09-06,14:00:00,PDT,Inorganic nitrogen (nitrate and nitrite),1.97,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA",Estimated Detection Level,0.04,mg/l as N
USGS California Water Science Center,USGS-11303500,2017-07-06,14:15:00,PDT,Suspended Sediment Concentration (SSC),78,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2012-09-06,14:00:00,PDT,Organic carbon,2,mg/l,Accepted,"DOC, CO2 formation & detection",Method Detection Limit (MDL),0.3,mg/l
USGS California Water Science Center,USGS-11303500,2020-03-15,10:30:00,PDT,Suspended Sediment Concentration (SSC),58,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-10-10,14:09:00,PDT,Suspended Sediment Concentration (SSC),34,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-06-28,12:44:00,PDT,Suspended Sediment Concentration (SSC),20,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-06-21,12:15:00,PDT,Suspended Sediment Concentration (SSC),21,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-05-10,06:50:00,PDT,Suspended Sediment Concentration (SSC),39,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-10-17,07:10:00,PDT,Suspended Sediment Concentration (SSC),52,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2016-10-19,12:31:00,PDT,Suspended Sediment Concentration (SSC),10,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-10-03,15:34:00,PDT,Suspended Sediment Concentration (SSC),51,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-08-25,07:05:00,PDT,Suspended Sediment Concentration (SSC),42,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-07-20,09:21:00,PDT,Suspended Sediment Concentration (SSC),21,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-04-16,12:35:00,PDT,Suspended Sediment Concentration (SSC),34,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-05-16,12:40:00,PDT,Suspended Sediment Concentration (SSC),15,mg/l,Accepted,Sediment conc by filtration,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2017-06-13,13:15:00,PDT,Suspended Sediment Concentration (SSC),47,mg/l,Accepted,Sediment conc by filtration,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2018-06-09,19:45:00,PDT,Suspended Sediment Concentration (SSC),121,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-05-13,10:30:00,PDT,UV 254,2.4,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2017-08-19,14:45:00,PDT,Suspended Sediment Concentration (SSC),33,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-06-21,12:03:00,PDT,Suspended Sediment Concentration (SSC),23,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-10-10,13:37:00,PDT,Suspended Sediment Concentration (SSC),39,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-05-28,12:10:00,PDT,Suspended Sediment Concentration (SSC),54,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2010-10-14,14:06:00,PDT,Suspended Sediment Concentration (SSC),58,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-10-21,12:40:00,PDT,Suspended Sediment Concentration (SSC),4,mg/l,Accepted,Sediment conc by filtration,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2020-03-11,18:00:00,PDT,Suspended Sediment Concentration (SSC),39,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2019-05-16,16:25:00,PDT,Suspended Sediment Concentration (SSC),65,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-08-10,13:57:00,PDT,Suspended Sediment Concentration (SSC),42,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2020-03-16,08:12:00,PDT,Suspended Sediment Concentration (SSC),13,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-06-01,08:37:00,PDT,Suspended Sediment Concentration (SSC),49,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-04-17,12:04:00,PDT,Suspended Sediment Concentration (SSC),61,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-03-15,10:30:00,PDT,Nitrite,0.002,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",Long Term Method Detection Level,0.001,mg/l as N
USGS California Water Science Center,USGS-11447650,2014-04-02,12:15:00,PDT,Suspended Sediment Concentration (SSC),84,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-04-14,16:15:00,PDT,Suspended Sediment Concentration (SSC),98,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-09-24,14:42:00,PDT,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-04-26,14:32:00,PDT,Suspended Sediment Concentration (SSC),47,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-04-02,12:41:00,PDT,Suspended Sediment Concentration (SSC),101,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-07-14,13:01:00,PDT,Suspended Sediment Concentration (SSC),18,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-06-09,17:18:00,PDT,Suspended Sediment Concentration (SSC),7,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-10-25,11:53:00,PDT,Suspended Sediment Concentration (SSC),23,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-07-23,10:45:00,PDT,Suspended Sediment Concentration (SSC),26,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-07-14,12:43:00,PDT,Suspended Sediment Concentration (SSC),11,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2020-03-08,15:05:00,PDT,Suspended Sediment Concentration (SSC),45,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2020-03-11,09:28:00,PDT,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-03-14,12:40:00,PDT,Suspended Sediment Concentration (SSC),24,mg/l,Accepted,Sediment conc by filtration,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2012-04-10,13:50:00,PDT,Suspended Sediment Concentration (SSC),61,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-04-12,12:23:00,PDT,Suspended Sediment Concentration (SSC),91,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-10-10,13:48:00,PDT,Suspended Sediment Concentration (SSC),38,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2019-06-28,16:10:00,PDT,Suspended Sediment Concentration (SSC),52,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2014-07-24,10:00:00,PDT,UV 254,2.3,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2018-08-08,13:15:00,PDT,Suspended Sediment Concentration (SSC),30,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-10-04,11:43:00,PDT,Suspended Sediment Concentration (SSC),16,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-04-18,10:55:00,PDT,Nitrite,0.001,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",Long Term Method Detection Level,0.001,mg/l as N
USGS California Water Science Center,USGS-11447650,2012-04-18,10:55:00,PDT,Inorganic nitrogen (nitrate and nitrite),0.11,mg/l as N,Accepted,"NO3+NO2, wf, FCC,NaR, DA, LL",Estimated Detection Level,0.01,mg/l as N
USGS California Water Science Center,USGS-11447650,2012-04-18,10:55:00,PDT,Orthophosphate,0.03,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",Long Term Method Detection Level,0.004,mg/l as P
USGS California Water Science Center,USGS-11447650,2012-04-18,10:55:00,PDT,Organic carbon,3.48,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",Long Term Method Detection Level,0.23,mg/l
USGS California Water Science Center,USGS-11447650,2012-04-18,10:55:00,PDT,UV 254,4,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11447650,2012-04-18,10:55:00,PDT,Suspended Sediment Concentration (SSC),48,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2017-03-23,09:01:00,PDT,Suspended Sediment Concentration (SSC),75,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-05-23,10:15:00,PDT,Suspended Sediment Concentration (SSC),64,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2011-10-25,11:30:00,PDT,Organic carbon,1.54,mg/l,Accepted,"DOC, 0.7um GFF,acid,persulfateIR",Long Term Method Detection Level,0.23,mg/l
USGS California Water Science Center,USGS-11447650,2020-03-16,08:08:00,PDT,Suspended Sediment Concentration (SSC),13,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-05-11,10:00:00,PDT,Suspended Sediment Concentration (SSC),36,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-08-07,10:00:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",1.2,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2018-08-07,10:00:00,PDT,UV 254,3.2,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2018-08-07,10:00:00,PDT,Suspended Sediment Concentration (SSC),618,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-05-08,10:30:00,PDT,Ammonia and ammonium,0.26,mg/l as N,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2017-08-02,08:44:00,PDT,Suspended Sediment Concentration (SSC),22,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-04-10,14:08:00,PDT,Suspended Sediment Concentration (SSC),113,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-04-24,16:45:00,PDT,Suspended Sediment Concentration (SSC),88,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-03-23,11:50:00,PDT,Suspended Sediment Concentration (SSC),158,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2018-06-03,06:22:00,PDT,Suspended Sediment Concentration (SSC),13,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2015-05-08,10:30:00,PDT,Suspended Sediment Concentration (SSC),8,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2018-07-11,18:00:00,PDT,Suspended Sediment Concentration (SSC),29,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2019-06-13,09:21:00,PDT,Suspended Sediment Concentration (SSC),31,mg/l,Accepted,Sediment conc by filtration,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-08-23,10:30:00,PDT,Nitrite,0.004,mg/l as N,Accepted,"Nitrite, wf, DA, diazo",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2017-08-23,10:30:00,PDT,Orthophosphate,0.045,mg/l as P,Accepted,"Ortho-PO4, wf, DA phos/mol(NWQL)",NA,NA,NA
USGS California Water Science Center,USGS-11447650,2020-03-11,09:30:00,PDT,Suspended Sediment Concentration (SSC),9,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2017-08-23,10:30:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.52,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2017-08-23,10:30:00,PDT,UV 254,3.7,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2017-08-23,10:30:00,PDT,Suspended Sediment Concentration (SSC),33,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2015-04-23,11:00:00,PDT,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",0.65,mg/l,Accepted,"Nutrients, wf, FCC,persulfate,CF",NA,NA,NA
USGS California Water Science Center,USGS-11303500,2015-04-23,11:00:00,PDT,UV 254,2,L/mgDOC*m,Accepted,Computation by NWIS algorithm,NA,NA,NA
USGS California Water Science Center,USGS-11303500,2015-04-23,11:00:00,PDT,Suspended Sediment Concentration (SSC),19,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11447650,2012-07-09,13:15:00,PDT,Organic carbon,1.7,mg/l,Accepted,"DOC, CO2 formation & detection",Method Detection Limit (MDL),0.3,mg/l
USGS California Water Science Center,USGS-11303500,2014-04-29,13:13:00,PDT,Suspended Sediment Concentration (SSC),46,mg/l,Accepted,Sediment conc from size analysis,Lower Reporting Limit,1,mg/l
USGS California Water Science Center,USGS-11303500,2016-05-25,11:30:00,PDT,Ammonia and ammonium,NA,NA,Accepted,"Ammonia, wf, DA sal/hypo (NWQL)",NA,NA,NA
